time,amp,sigma,band
11.3272,1.9837,0.0046,b3
11.3317,1.992,0.0051,b3
11.3372,1.9806,0.0046,b3
11.3422,1.9807,0.0042,b3
11.3475,1.9751,0.0048,b3
11.3525,1.9784,0.0049,b3
11.3569,1.9767,0.0044,b3
11.3625,1.9778,0.0046,b3
11.3675,1.9729,0.0046,b3
11.3722,1.9789,0.0046,b3
11.3772,1.9726,0.0048,b3
11.3828,1.9721,0.0045,b3
11.3878,1.9602,0.0047,b3
11.3922,1.9501,0.0042,b3
11.3981,1.9538,0.0044,b3
11.4031,1.9635,0.0047,b3
11.4081,1.9601,0.0045,b3
11.4131,1.9604,0.0049,b3
11.4181,1.9612,0.0046,b3
11.4233,1.95,0.0046,b3
11.4283,1.9346,0.0054,b3
11.4333,1.9473,0.0043,b3
11.4383,1.9388,0.0056,b3
11.4428,1.9594,0.0049,b3
11.4472,1.9374,0.0061,b3
11.6033,1.9812,0.005,b3
11.6086,1.971,0.0051,b3
11.6136,1.9763,0.0048,b3
11.6186,1.9786,0.0047,b3
11.6236,1.9892,0.005,b3
11.6286,1.9945,0.0048,b3
11.6333,1.9878,0.0051,b3
11.6383,1.9947,0.0044,b3
11.6433,1.9925,0.0043,b3
11.6483,1.9959,0.0047,b3
11.6539,2.0017,0.0046,b3
11.6589,2.0016,0.0048,b3
11.6642,2.0002,0.0049,b3
11.6692,2.0029,0.0048,b3
11.6742,2.0078,0.0047,b3
11.6792,2.0104,0.005,b3
11.6842,2.0143,0.0048,b3
11.6894,2.0127,0.0048,b3
11.6944,1.9991,0.0047,b3
11.6994,1.9911,0.0048,b3
11.7044,2.0181,0.0054,b3
11.7089,2.0077,0.0049,b3
11.7142,2.0253,0.005,b3
11.77,2.0372,0.0043,b3
11.7753,2.046,0.0047,b3
11.7803,2.0681,0.0049,b3
11.7853,2.0671,0.0048,b3
11.7903,2.0729,0.0047,b3
11.7953,2.0661,0.0046,b3
11.8006,2.0672,0.005,b3
11.8056,2.0781,0.0047,b3
11.81,2.0732,0.0048,b3
11.8156,2.0887,0.0045,b3
11.8206,2.0752,0.0042,b3
11.8256,2.085,0.0044,b3
11.8308,2.0909,0.0045,b3
11.8358,2.0819,0.0042,b3
11.8408,2.0987,0.0046,b3
11.8458,2.0958,0.0043,b3
11.8503,2.0876,0.0046,b3
11.8561,2.1056,0.0041,b3
11.8611,2.1101,0.0045,b3
11.8656,2.1114,0.0052,b3
11.8711,2.1177,0.0043,b3
11.8761,2.1152,0.004,b3
11.8814,2.1056,0.004,b3
